epoch,best_epoch,loss,metric,best_metric
1,170,   0.54001,   0.06510,   0.90382
2,170,   0.12789,   0.22840,   0.90382
3,170,   0.13045,   0.24802,   0.90382
4,170,   0.11698,   0.31123,   0.90382
5,170,   0.11556,   0.33697,   0.90382
6,170,   0.11993,   0.25882,   0.90382
7,170,   0.11035,   0.29179,   0.90382
8,170,   0.10597,   0.28563,   0.90382
9,170,   0.10298,   0.27359,   0.90382
10,170,   0.07754,   0.28699,   0.90382
11,170,   0.12770,   0.24902,   0.90382
12,170,   0.11351,   0.30466,   0.90382
13,170,   0.11910,   0.34544,   0.90382
14,170,   0.11868,   0.31889,   0.90382
15,170,   0.11140,   0.34739,   0.90382
16,170,   0.10800,   0.37598,   0.90382
17,170,   0.09152,   0.29631,   0.90382
18,170,   0.05742,   0.25373,   0.90382
19,170,   0.04593,   0.33319,   0.90382
20,170,   0.03140,   0.46884,   0.90382
21,170,   0.03054,   0.43436,   0.90382
22,170,   0.04017,   0.32478,   0.90382
23,170,   0.02743,   0.50394,   0.90382
24,170,   0.02494,   0.55051,   0.90382
25,170,   0.02697,   0.51506,   0.90382
26,170,   0.02804,   0.51051,   0.90382
27,170,   0.03203,   0.40948,   0.90382
28,170,   0.03538,   0.37488,   0.90382
29,170,   0.02674,   0.48855,   0.90382
30,170,   0.02054,   0.67658,   0.90382
31,170,   0.02493,   0.53936,   0.90382
32,170,   0.02671,   0.48887,   0.90382
33,170,   0.02370,   0.55629,   0.90382
34,170,   0.02324,   0.55560,   0.90382
35,170,   0.02559,   0.46922,   0.90382
36,170,   0.02742,   0.42037,   0.90382
37,170,   0.02761,   0.40225,   0.90382
38,170,   0.01700,   0.70691,   0.90382
39,170,   0.01887,   0.62935,   0.90382
40,170,   0.01695,   0.70608,   0.90382
41,170,   0.01682,   0.72893,   0.90382
42,170,   0.01977,   0.66844,   0.90382
43,170,   0.01834,   0.73556,   0.90382
44,170,   0.01916,   0.64897,   0.90382
45,170,   0.01870,   0.67250,   0.90382
46,170,   0.02013,   0.66883,   0.90382
47,170,   0.02072,   0.60446,   0.90382
48,170,   0.02286,   0.50974,   0.90382
49,170,   0.01772,   0.67469,   0.90382
50,170,   0.01731,   0.70028,   0.90382
51,170,   0.01770,   0.69058,   0.90382
52,170,   0.01635,   0.71801,   0.90382
53,170,   0.01811,   0.68788,   0.90382
54,170,   0.01783,   0.68694,   0.90382
55,170,   0.01823,   0.67309,   0.90382
56,170,   0.02016,   0.57721,   0.90382
57,170,   0.01634,   0.72523,   0.90382
58,170,   0.01697,   0.70147,   0.90382
59,170,   0.01626,   0.73426,   0.90382
60,170,   0.01555,   0.75985,   0.90382
61,170,   0.01265,   0.82629,   0.90382
62,170,   0.01095,   0.85136,   0.90382
63,170,   0.01081,   0.85662,   0.90382
64,170,   0.01112,   0.85180,   0.90382
65,170,   0.01099,   0.85636,   0.90382
66,170,   0.01037,   0.85520,   0.90382
67,170,   0.01090,   0.85890,   0.90382
68,170,   0.01110,   0.85165,   0.90382
69,170,   0.01088,   0.85582,   0.90382
70,170,   0.01071,   0.86210,   0.90382
71,170,   0.01127,   0.84703,   0.90382
72,170,   0.01039,   0.87109,   0.90382
73,170,   0.01021,   0.86926,   0.90382
74,170,   0.01023,   0.86612,   0.90382
75,170,   0.01057,   0.87003,   0.90382
76,170,   0.01032,   0.86651,   0.90382
77,170,   0.01025,   0.87311,   0.90382
78,170,   0.01068,   0.86769,   0.90382
79,170,   0.01060,   0.85029,   0.90382
80,170,   0.01042,   0.86645,   0.90382
81,170,   0.00984,   0.86958,   0.90382
82,170,   0.00999,   0.87115,   0.90382
83,170,   0.01000,   0.86606,   0.90382
84,170,   0.01010,   0.85733,   0.90382
85,170,   0.01018,   0.85662,   0.90382
86,170,   0.01025,   0.85212,   0.90382
87,170,   0.01067,   0.84541,   0.90382
88,170,   0.00985,   0.86145,   0.90382
89,170,   0.01069,   0.85180,   0.90382
90,170,   0.01116,   0.85180,   0.90382
91,170,   0.01009,   0.85141,   0.90382
92,170,   0.00989,   0.85689,   0.90382
93,170,   0.01027,   0.85532,   0.90382
94,170,   0.01067,   0.84638,   0.90382
95,170,   0.00979,   0.86100,   0.90382
96,170,   0.01005,   0.85414,   0.90382
97,170,   0.00977,   0.86177,   0.90382
98,170,   0.00976,   0.84952,   0.90382
99,170,   0.01034,   0.84334,   0.90382
100,170,   0.01036,   0.85565,   0.90382
101,170,   0.01048,   0.84405,   0.90382
102,170,   0.01037,   0.85304,   0.90382
103,170,   0.01040,   0.85065,   0.90382
104,170,   0.00987,   0.85727,   0.90382
105,170,   0.01023,   0.86210,   0.90382
106,170,   0.01017,   0.86698,   0.90382
107,170,   0.01023,   0.85402,   0.90382
108,170,   0.01005,   0.85624,   0.90382
109,170,   0.00993,   0.85597,   0.90382
110,170,   0.00941,   0.85153,   0.90382
111,170,   0.00990,   0.84621,   0.90382
112,170,   0.01048,   0.85414,   0.90382
113,170,   0.01089,   0.86529,   0.90382
114,170,   0.00989,   0.84893,   0.90382
115,170,   0.00974,   0.86233,   0.90382
116,170,   0.00977,   0.87018,   0.90382
117,170,   0.00985,   0.85180,   0.90382
118,170,   0.01044,   0.85355,   0.90382
119,170,   0.01038,   0.86378,   0.90382
120,170,   0.00959,   0.86535,   0.90382
121,170,   0.00939,   0.85869,   0.90382
122,170,   0.00931,   0.86340,   0.90382
123,170,   0.00931,   0.86535,   0.90382
124,170,   0.00895,   0.86151,   0.90382
125,170,   0.00883,   0.86503,   0.90382
126,170,   0.00893,   0.86627,   0.90382
127,170,   0.00952,   0.84493,   0.90382
128,170,   0.00942,   0.86432,   0.90382
129,170,   0.00922,   0.85381,   0.90382
130,170,   0.00918,   0.85976,   0.90382
131,170,   0.00878,   0.86600,   0.90382
132,170,   0.00891,   0.85955,   0.90382
133,170,   0.00881,   0.86855,   0.90382
134,170,   0.00894,   0.86639,   0.90382
135,170,   0.00874,   0.86301,   0.90382
136,170,   0.00885,   0.86189,   0.90382
137,170,   0.00896,   0.86201,   0.90382
138,170,   0.00915,   0.85630,   0.90382
139,170,   0.00863,   0.86189,   0.90382
140,170,   0.00852,   0.86671,   0.90382
141,170,   0.00863,   0.87024,   0.90382
142,170,   0.00995,   0.87186,   0.90382
143,170,   0.00894,   0.87799,   0.90382
144,170,   0.00887,   0.87441,   0.90382
145,170,   0.00869,   0.86497,   0.90382
146,170,   0.00864,   0.86938,   0.90382
147,170,   0.00891,   0.86920,   0.90382
148,170,   0.00825,   0.87902,   0.90382
149,170,   0.00851,   0.87701,   0.90382
150,170,   0.00858,   0.87973,   0.90382
151,170,   0.00893,   0.87962,   0.90382
152,170,   0.00859,   0.87902,   0.90382
153,170,   0.00960,   0.87686,   0.90382
154,170,   0.00959,   0.88255,   0.90382
