epoch,best_epoch,loss,metric,best_metric
1,200,   0.56376,   0.03492,   0.94141
2,200,   0.12709,   0.24234,   0.94141
3,200,   0.11981,   0.26817,   0.94141
4,200,   0.10575,   0.27551,   0.94141
5,200,   0.06782,   0.27725,   0.94141
6,200,   0.03268,   0.40368,   0.94141
7,200,   0.02778,   0.54859,   0.94141
8,200,   0.02572,   0.59884,   0.94141
9,200,   0.02420,   0.57345,   0.94141
10,200,   0.02334,   0.57756,   0.94141
11,200,   0.03017,   0.45200,   0.94141
12,200,   0.04084,   0.35411,   0.94141
13,200,   0.08440,   0.19460,   0.94141
14,200,   0.04741,   0.29992,   0.94141
15,200,   0.03826,   0.29945,   0.94141
16,200,   0.02740,   0.51122,   0.94141
17,200,   0.02705,   0.47929,   0.94141
18,200,   0.02250,   0.62491,   0.94141
19,200,   0.02195,   0.67270,   0.94141
20,200,   0.02049,   0.66954,   0.94141
21,200,   0.02097,   0.68916,   0.94141
22,200,   0.01842,   0.70088,   0.94141
23,200,   0.01869,   0.69937,   0.94141
24,200,   0.01727,   0.71085,   0.94141
25,200,   0.01714,   0.71748,   0.94141
26,200,   0.02241,   0.59411,   0.94141
27,200,   0.02401,   0.57398,   0.94141
28,200,   0.02616,   0.52051,   0.94141
29,200,   0.02072,   0.64175,   0.94141
30,200,   0.02438,   0.56670,   0.94141
31,200,   0.02033,   0.65737,   0.94141
32,200,   0.01960,   0.67436,   0.94141
33,200,   0.01812,   0.71200,   0.94141
34,200,   0.01846,   0.71526,   0.94141
35,200,   0.01851,   0.71493,   0.94141
36,200,   0.01980,   0.68090,   0.94141
37,200,   0.02033,   0.69469,   0.94141
38,200,   0.01704,   0.73728,   0.94141
39,200,   0.01638,   0.73946,   0.94141
40,200,   0.01598,   0.75778,   0.94141
41,200,   0.01503,   0.76039,   0.94141
42,200,   0.01483,   0.76749,   0.94141
43,200,   0.01475,   0.77187,   0.94141
44,200,   0.01486,   0.76373,   0.94141
45,200,   0.01439,   0.76944,   0.94141
46,200,   0.01443,   0.76548,   0.94141
47,200,   0.01459,   0.76832,   0.94141
48,200,   0.01422,   0.76409,   0.94141
49,200,   0.01974,   0.68744,   0.94141
50,200,   0.01885,   0.69972,   0.94141
51,200,   0.01995,   0.65891,   0.94141
52,200,   0.02049,   0.67522,   0.94141
53,200,   0.02478,   0.52711,   0.94141
54,200,   0.02590,   0.48420,   0.94141
55,200,   0.02699,   0.45395,   0.94141
56,200,   0.02451,   0.49438,   0.94141
57,200,   0.02332,   0.54661,   0.94141
58,200,   0.01797,   0.71005,   0.94141
59,200,   0.01608,   0.75589,   0.94141
60,200,   0.01801,   0.72091,   0.94141
61,200,   0.01701,   0.74964,   0.94141
62,200,   0.01641,   0.74743,   0.94141
63,200,   0.01684,   0.74666,   0.94141
64,200,   0.01646,   0.75311,   0.94141
65,200,   0.01526,   0.76533,   0.94141
66,200,   0.01565,   0.76391,   0.94141
67,200,   0.01478,   0.77296,   0.94141
68,200,   0.01412,   0.78533,   0.94141
69,200,   0.01436,   0.78957,   0.94141
70,200,   0.01433,   0.80273,   0.94141
71,200,   0.01461,   0.79619,   0.94141
72,200,   0.01478,   0.79300,   0.94141
73,200,   0.01352,   0.80259,   0.94141
