epoch,best_epoch,loss,metric,best_metric
1,334,   0.54096,   0.06830,   0.95540
2,334,   0.12014,   0.33665,   0.95540
3,334,   0.12313,   0.26290,   0.95540
4,334,   0.11823,   0.30874,   0.95540
5,334,   0.11674,   0.29572,   0.95540
6,334,   0.11022,   0.43723,   0.95540
7,334,   0.11366,   0.28610,   0.95540
8,334,   0.10430,   0.46185,   0.95540
9,334,   0.10266,   0.38595,   0.95540
10,334,   0.10249,   0.46680,   0.95540
11,334,   0.13679,   0.22420,   0.95540
12,334,   0.16018,   0.15945,   0.95540
13,334,   0.12442,   0.24840,   0.95540
14,334,   0.11720,   0.30889,   0.95540
15,334,   0.11241,   0.35615,   0.95540
16,334,   0.10702,   0.33952,   0.95540
17,334,   0.08338,   0.26891,   0.95540
18,334,   0.15449,   0.23207,   0.95540
19,334,   0.12283,   0.27406,   0.95540
20,334,   0.11157,   0.39850,   0.95540
21,334,   0.10995,   0.43371,   0.95540
22,334,   0.11000,   0.37512,   0.95540
23,334,   0.10626,   0.42075,   0.95540
24,334,   0.10383,   0.40607,   0.95540
25,334,   0.10665,   0.41513,   0.95540
26,334,   0.10391,   0.26548,   0.95540
27,334,   0.07544,   0.23574,   0.95540
28,334,   0.03900,   0.30383,   0.95540
29,334,   0.03294,   0.33129,   0.95540
30,334,   0.02655,   0.51491,   0.95540
31,334,   0.02621,   0.50861,   0.95540
32,334,   0.02301,   0.55679,   0.95540
33,334,   0.02821,   0.45910,   0.95540
34,334,   0.02325,   0.54708,   0.95540
35,334,   0.01945,   0.66069,   0.95540
36,334,   0.01849,   0.67105,   0.95540
37,334,   0.01802,   0.67803,   0.95540
38,334,   0.01796,   0.70256,   0.95540
39,334,   0.01810,   0.67546,   0.95540
40,334,   0.01575,   0.73032,   0.95540
41,334,   0.01526,   0.74006,   0.95540
42,334,   0.01551,   0.74373,   0.95540
43,334,   0.01477,   0.74429,   0.95540
44,334,   0.01380,   0.75870,   0.95540
45,334,   0.01414,   0.74506,   0.95540
46,334,   0.01406,   0.75444,   0.95540
47,334,   0.01368,   0.75509,   0.95540
48,334,   0.01360,   0.75953,   0.95540
49,334,   0.01950,   0.64403,   0.95540
50,334,   0.02086,   0.61642,   0.95540
51,334,   0.01813,   0.66013,   0.95540
52,334,   0.01849,   0.65705,   0.95540
53,334,   0.02088,   0.56099,   0.95540
54,334,   0.02253,   0.54966,   0.95540
55,334,   0.01952,   0.63426,   0.95540
56,334,   0.01774,   0.67617,   0.95540
57,334,   0.01796,   0.66309,   0.95540
58,334,   0.01727,   0.69670,   0.95540
59,334,   0.01599,   0.73366,   0.95540
60,334,   0.01525,   0.73722,   0.95540
61,334,   0.01476,   0.73511,   0.95540
62,334,   0.01444,   0.75589,   0.95540
63,334,   0.01625,   0.72496,   0.95540
64,334,   0.01754,   0.67599,   0.95540
65,334,   0.01434,   0.76272,   0.95540
66,334,   0.01262,   0.78371,   0.95540
67,334,   0.01281,   0.77563,   0.95540
68,334,   0.01271,   0.78637,   0.95540
69,334,   0.01182,   0.79223,   0.95540
70,334,   0.01200,   0.79939,   0.95540
71,334,   0.01221,   0.80922,   0.95540
72,334,   0.01168,   0.80401,   0.95540
73,334,   0.01065,   0.81854,   0.95540
74,334,   0.01074,   0.81712,   0.95540
75,334,   0.01111,   0.81481,   0.95540
76,334,   0.01114,   0.81371,   0.95540
77,334,   0.01055,   0.81768,   0.95540
78,334,   0.01008,   0.82635,   0.95540
79,334,   0.01047,   0.81726,   0.95540
80,334,   0.01018,   0.82857,   0.95540
81,334,   0.01046,   0.82451,   0.95540
82,334,   0.00991,   0.82608,   0.95540
83,334,   0.00997,   0.83253,   0.95540
84,334,   0.02044,   0.55176,   0.95540
85,334,   0.02071,   0.58295,   0.95540
86,334,   0.01719,   0.68383,   0.95540
87,334,   0.01748,   0.67904,   0.95540
88,334,   0.01412,   0.77107,   0.95540
89,334,   0.01545,   0.72730,   0.95540
90,334,   0.01434,   0.76332,   0.95540
91,334,   0.01297,   0.80460,   0.95540
92,334,   0.01473,   0.77548,   0.95540
93,334,   0.01419,   0.77764,   0.95540
94,334,   0.01407,   0.76696,   0.95540
95,334,   0.01208,   0.81371,   0.95540
96,334,   0.01291,   0.80978,   0.95540
97,334,   0.01914,   0.60724,   0.95540
98,334,   0.01740,   0.68655,   0.95540
99,334,   0.01451,   0.76604,   0.95540
100,334,   0.01620,   0.71982,   0.95540
101,334,   0.01576,   0.72050,   0.95540
102,334,   0.01187,   0.81880,   0.95540
103,334,   0.01234,   0.81398,   0.95540
104,334,   0.01443,   0.77654,   0.95540
105,334,   0.01192,   0.82244,   0.95540
106,334,   0.01092,   0.83910,   0.95540
107,334,   0.01141,   0.83324,   0.95540
108,334,   0.01050,   0.84257,   0.95540
109,334,   0.01396,   0.79007,   0.95540
110,334,   0.01318,   0.81348,   0.95540
111,334,   0.01089,   0.84556,   0.95540
112,334,   0.01110,   0.84529,   0.95540
113,334,   0.01057,   0.85070,   0.95540
114,334,   0.01093,   0.84647,   0.95540
115,334,   0.00949,   0.85011,   0.95540
116,334,   0.00936,   0.84437,   0.95540
117,334,   0.00970,   0.84632,   0.95540
118,334,   0.00913,   0.85130,   0.95540
119,334,   0.00928,   0.84437,   0.95540
120,334,   0.00936,   0.85130,   0.95540
121,334,   0.00949,   0.84789,   0.95540
122,334,   0.00897,   0.85612,   0.95540
123,334,   0.00892,   0.84920,   0.95540
124,334,   0.00911,   0.84795,   0.95540
125,334,   0.00936,   0.84931,   0.95540
126,334,   0.00866,   0.85174,   0.95540
127,334,   0.00884,   0.85251,   0.95540
128,334,   0.00869,   0.85656,   0.95540
129,334,   0.00873,   0.85304,   0.95540
130,334,   0.00857,   0.85423,   0.95540
131,334,   0.00861,   0.85526,   0.95540
132,334,   0.00867,   0.85760,   0.95540
133,334,   0.00846,   0.85044,   0.95540
134,334,   0.00862,   0.84860,   0.95540
135,334,   0.00863,   0.85369,   0.95540
136,334,   0.00851,   0.85721,   0.95540
137,334,   0.01302,   0.80114,   0.95540
138,334,   0.01662,   0.69804,   0.95540
139,334,   0.01369,   0.77131,   0.95540
140,334,   0.01595,   0.70827,   0.95540
141,334,   0.01315,   0.78883,   0.95540
142,334,   0.01250,   0.82212,   0.95540
143,334,   0.01202,   0.82309,   0.95540
144,334,   0.01393,   0.78826,   0.95540
145,334,   0.01161,   0.81611,   0.95540
146,334,   0.01141,   0.82842,   0.95540
147,334,   0.01252,   0.82224,   0.95540
148,334,   0.01280,   0.82126,   0.95540
149,334,   0.01685,   0.69727,   0.95540
150,334,   0.01299,   0.80303,   0.95540
151,334,   0.01240,   0.82087,   0.95540
152,334,   0.01256,   0.80889,   0.95540
153,334,   0.01424,   0.78643,   0.95540
154,334,   0.01191,   0.82602,   0.95540
155,334,   0.01323,   0.81061,   0.95540
156,334,   0.01284,   0.80936,   0.95540
157,334,   0.01016,   0.84875,   0.95540
158,334,   0.01263,   0.83585,   0.95540
159,334,   0.01524,   0.77290,   0.95540
160,334,   0.01220,   0.83304,   0.95540
161,334,   0.01079,   0.85044,   0.95540
162,334,   0.01105,   0.83683,   0.95540
163,334,   0.01086,   0.85218,   0.95540
164,334,   0.01137,   0.83384,   0.95540
165,334,   0.01082,   0.84366,   0.95540
166,334,   0.00959,   0.85798,   0.95540
167,334,   0.01058,   0.85168,   0.95540
168,334,   0.01178,   0.85260,   0.95540
169,334,   0.01185,   0.86230,   0.95540
170,334,   0.01007,   0.86020,   0.95540
171,334,   0.01022,   0.86254,   0.95540
172,334,   0.00997,   0.85943,   0.95540
173,334,   0.01005,   0.86899,   0.95540
174,334,   0.00920,   0.86846,   0.95540
175,334,   0.00956,   0.87447,   0.95540
176,334,   0.01009,   0.87438,   0.95540
177,334,   0.00821,   0.89530,   0.95540
178,334,   0.00989,   0.88743,   0.95540
179,334,   0.01027,   0.88293,   0.95540
180,334,   0.00869,   0.89492,   0.95540
181,334,   0.00783,   0.90507,   0.95540
182,334,   0.00744,   0.91217,   0.95540
183,334,   0.00721,   0.91276,   0.95540
184,334,   0.00781,   0.91217,   0.95540
185,334,   0.00781,   0.91309,   0.95540
186,334,   0.00732,   0.91315,   0.95540
187,334,   0.00756,   0.90989,   0.95540
188,334,   0.00754,   0.91158,   0.95540
189,334,   0.00764,   0.91581,   0.95540
190,334,   0.00718,   0.91998,   0.95540
191,334,   0.00727,   0.91797,   0.95540
192,334,   0.00707,   0.91699,   0.95540
193,334,   0.00729,   0.91223,   0.95540
194,334,   0.00674,   0.91803,   0.95540
195,334,   0.00698,   0.92291,   0.95540
196,334,   0.00685,   0.92421,   0.95540
197,334,   0.00702,   0.92525,   0.95540
198,334,   0.00698,   0.91880,   0.95540
199,334,   0.00666,   0.92238,   0.95540
200,334,   0.00678,   0.92324,   0.95540
201,334,   0.00654,   0.92812,   0.95540
202,334,   0.00687,   0.92395,   0.95540
203,334,   0.00655,   0.92649,   0.95540
204,334,   0.00670,   0.91906,   0.95540
205,334,   0.00656,   0.92291,   0.95540
206,334,   0.00658,   0.92904,   0.95540
207,334,   0.00649,   0.92551,   0.95540
208,334,   0.00647,   0.92682,   0.95540
209,334,   0.00655,   0.92427,   0.95540
210,334,   0.00645,   0.91755,   0.95540
211,334,   0.00640,   0.92850,   0.95540
212,334,   0.00646,   0.92096,   0.95540
213,334,   0.00638,   0.92395,   0.95540
214,334,   0.00634,   0.92753,   0.95540
215,334,   0.00610,   0.93034,   0.95540
216,334,   0.00626,   0.92270,   0.95540
217,334,   0.01072,   0.86145,   0.95540
218,334,   0.00999,   0.89888,   0.95540
219,334,   0.01186,   0.85556,   0.95540
220,334,   0.01038,   0.88755,   0.95540
221,334,   0.01093,   0.90539,   0.95540
222,334,   0.00995,   0.88429,   0.95540
223,334,   0.01130,   0.85787,   0.95540
224,334,   0.01309,   0.84002,   0.95540
225,334,   0.01102,   0.86535,   0.95540
226,334,   0.01109,   0.89823,   0.95540
227,334,   0.01061,   0.89385,   0.95540
228,334,   0.01170,   0.86171,   0.95540
229,334,   0.01169,   0.85136,   0.95540
230,334,   0.00949,   0.90850,   0.95540
231,334,   0.00906,   0.91445,   0.95540
232,334,   0.00833,   0.92285,   0.95540
233,334,   0.01014,   0.89444,   0.95540
234,334,   0.01356,   0.79542,   0.95540
235,334,   0.01057,   0.88482,   0.95540
236,334,   0.00853,   0.91640,   0.95540
237,334,   0.00964,   0.90584,   0.95540
238,334,   0.00969,   0.91510,   0.95540
239,334,   0.01010,   0.91918,   0.95540
240,334,   0.01089,   0.89492,   0.95540
241,334,   0.00911,   0.89231,   0.95540
242,334,   0.00964,   0.89921,   0.95540
243,334,   0.01062,   0.86938,   0.95540
244,334,   0.00755,   0.93262,   0.95540
245,334,   0.00840,   0.91874,   0.95540
246,334,   0.00885,   0.92611,   0.95540
247,334,   0.00851,   0.92720,   0.95540
248,334,   0.00841,   0.92448,   0.95540
249,334,   0.00820,   0.92439,   0.95540
250,334,   0.00795,   0.92791,   0.95540
251,334,   0.00731,   0.92889,   0.95540
252,334,   0.00732,   0.93235,   0.95540
253,334,   0.00876,   0.92850,   0.95540
254,334,   0.00688,   0.93756,   0.95540
255,334,   0.00771,   0.92883,   0.95540
256,334,   0.00679,   0.93327,   0.95540
257,334,   0.00769,   0.92969,   0.95540
