epoch,best_epoch,loss,metric,best_metric
1,334,   0.55224,   0.08073,   0.95280
2,334,   0.13326,   0.18330,   0.95280
3,334,   0.12546,   0.24923,   0.95280
4,334,   0.11551,   0.27835,   0.95280
5,334,   0.10852,   0.26119,   0.95280
6,334,   0.07615,   0.24136,   0.95280
7,334,   0.03954,   0.32173,   0.95280
8,334,   0.03250,   0.37692,   0.95280
9,334,   0.02483,   0.56422,   0.95280
10,334,   0.02464,   0.58067,   0.95280
11,334,   0.03404,   0.35479,   0.95280
12,334,   0.03884,   0.34055,   0.95280
13,334,   0.03300,   0.44037,   0.95280
14,334,   0.03378,   0.39746,   0.95280
15,334,   0.03670,   0.36328,   0.95280
16,334,   0.03102,   0.43626,   0.95280
17,334,   0.02792,   0.53667,   0.95280
18,334,   0.02505,   0.57878,   0.95280
19,334,   0.02198,   0.65649,   0.95280
20,334,   0.02286,   0.59467,   0.95280
21,334,   0.02205,   0.61230,   0.95280
22,334,   0.01736,   0.72491,   0.95280
23,334,   0.01633,   0.75752,   0.95280
24,334,   0.01568,   0.74879,   0.95280
25,334,   0.01536,   0.77660,   0.95280
26,334,   0.02883,   0.44463,   0.95280
27,334,   0.02726,   0.46896,   0.95280
28,334,   0.03014,   0.44466,   0.95280
29,334,   0.02663,   0.48781,   0.95280
30,334,   0.02472,   0.51784,   0.95280
31,334,   0.02288,   0.57762,   0.95280
32,334,   0.02552,   0.52873,   0.95280
33,334,   0.02152,   0.57357,   0.95280
34,334,   0.02192,   0.59203,   0.95280
35,334,   0.01842,   0.67193,   0.95280
36,334,   0.01919,   0.65948,   0.95280
37,334,   0.01872,   0.64012,   0.95280
38,334,   0.01833,   0.67223,   0.95280
39,334,   0.01484,   0.75447,   0.95280
40,334,   0.01564,   0.74991,   0.95280
41,334,   0.01605,   0.74417,   0.95280
42,334,   0.01420,   0.75323,   0.95280
43,334,   0.01368,   0.75974,   0.95280
44,334,   0.01342,   0.75870,   0.95280
45,334,   0.01317,   0.76755,   0.95280
46,334,   0.01275,   0.76376,   0.95280
47,334,   0.01299,   0.76500,   0.95280
48,334,   0.01236,   0.76977,   0.95280
49,334,   0.02018,   0.60642,   0.95280
