epoch,best_epoch,loss,metric,best_metric
1,36,   0.00686,   0.94407,   0.95573
2,36,   0.00530,   0.94869,   0.95573
3,36,   0.00498,   0.94901,   0.95573
4,36,   0.00485,   0.95188,   0.95573
5,36,   0.00478,   0.95156,   0.95573
6,36,   0.00500,   0.95215,   0.95573
7,36,   0.00507,   0.94738,   0.95573
8,36,   0.00508,   0.95215,   0.95573
9,36,   0.00511,   0.94895,   0.95573
10,36,   0.00512,   0.94809,   0.95573
11,36,   0.00501,   0.95031,   0.95573
12,36,   0.00485,   0.95188,   0.95573
13,36,   0.00474,   0.95280,   0.95573
14,36,   0.00499,   0.95312,   0.95573
15,36,   0.00521,   0.94777,   0.95573
16,36,   0.00510,   0.95058,   0.95573
17,36,   0.00536,   0.94771,   0.95573
18,36,   0.00511,   0.95150,   0.95573
19,36,   0.00503,   0.94928,   0.95573
20,36,   0.00502,   0.95378,   0.95573
21,36,   0.00489,   0.95312,   0.95573
22,36,   0.00470,   0.95410,   0.95573
23,36,   0.00485,   0.95037,   0.95573
24,36,   0.00482,   0.94940,   0.95573
25,36,   0.00491,   0.95064,   0.95573
26,36,   0.00522,   0.94928,   0.95573
27,36,   0.00512,   0.94922,   0.95573
28,36,   0.00522,   0.94712,   0.95573
29,36,   0.00503,   0.95221,   0.95573
30,36,   0.00504,   0.95052,   0.95573
31,36,   0.00510,   0.95058,   0.95573
32,36,   0.00486,   0.95182,   0.95573
33,36,   0.00497,   0.94960,   0.95573
34,36,   0.00488,   0.95351,   0.95573
35,36,   0.00496,   0.95085,   0.95573
36,36,   0.00477,   0.95573,   0.95573
37,36,   0.00486,   0.94869,   0.95573
38,36,   0.00466,   0.95410,   0.95573
39,36,   0.00472,   0.95156,   0.95573
40,36,   0.00472,   0.95247,   0.95573
41,36,   0.00474,   0.95025,   0.95573
42,36,   0.00462,   0.95247,   0.95573
43,36,   0.00467,   0.95188,   0.95573
44,36,   0.00503,   0.95156,   0.95573
45,36,   0.00498,   0.95312,   0.95573
46,36,   0.00488,   0.95345,   0.95573
47,36,   0.00526,   0.94339,   0.95573
48,36,   0.00484,   0.95378,   0.95573
49,36,   0.00506,   0.95384,   0.95573
50,36,   0.00510,   0.95312,   0.95573
