epoch,best_epoch,loss,metric,best_metric
1,336,   0.23309,   0.09091,   0.86926
2,336,   0.12388,   0.28847,   0.86926
3,336,   0.11687,   0.25231,   0.86926
4,336,   0.11506,   0.32567,   0.86926
5,336,   0.10851,   0.38127,   0.86926
6,336,   0.11053,   0.29288,   0.86926
7,336,   0.10362,   0.41022,   0.86926
8,336,   0.07844,   0.43072,   0.86926
9,336,   0.03745,   0.44978,   0.86926
10,336,   0.02703,   0.62331,   0.86926
11,336,   0.05799,   0.34180,   0.86926
12,336,   0.05143,   0.25314,   0.86926
13,336,   0.03854,   0.31078,   0.86926
14,336,   0.03180,   0.40986,   0.86926
15,336,   0.02623,   0.56283,   0.86926
16,336,   0.02759,   0.50346,   0.86926
17,336,   0.02279,   0.60976,   0.86926
18,336,   0.02531,   0.56297,   0.86926
19,336,   0.02362,   0.59248,   0.86926
20,336,   0.02230,   0.62032,   0.86926
21,336,   0.01950,   0.69197,   0.86926
22,336,   0.01943,   0.68797,   0.86926
23,336,   0.01890,   0.70824,   0.86926
24,336,   0.01899,   0.69877,   0.86926
25,336,   0.01919,   0.70165,   0.86926
26,336,   0.02573,   0.54190,   0.86926
27,336,   0.03087,   0.39240,   0.86926
28,336,   0.02846,   0.45312,   0.86926
29,336,   0.02299,   0.59520,   0.86926
30,336,   0.02313,   0.60716,   0.86926
31,336,   0.02672,   0.48926,   0.86926
32,336,   0.02292,   0.62926,   0.86926
33,336,   0.02513,   0.53048,   0.86926
34,336,   0.02333,   0.58558,   0.86926
35,336,   0.02020,   0.67847,   0.86926
36,336,   0.01930,   0.70597,   0.86926
37,336,   0.01857,   0.70531,   0.86926
38,336,   0.01925,   0.68401,   0.86926
39,336,   0.01809,   0.72757,   0.86926
40,336,   0.01804,   0.72834,   0.86926
41,336,   0.01876,   0.68791,   0.86926
42,336,   0.01742,   0.73011,   0.86926
43,336,   0.01716,   0.74595,   0.86926
44,336,   0.01683,   0.72106,   0.86926
45,336,   0.01648,   0.74068,   0.86926
46,336,   0.01641,   0.72881,   0.86926
47,336,   0.01649,   0.73402,   0.86926
48,336,   0.01709,   0.73094,   0.86926
49,336,   0.02498,   0.52181,   0.86926
50,336,   0.03132,   0.42114,   0.86926
51,336,   0.02470,   0.57019,   0.86926
52,336,   0.02353,   0.58830,   0.86926
53,336,   0.02364,   0.54732,   0.86926
54,336,   0.02552,   0.50231,   0.86926
55,336,   0.02324,   0.59931,   0.86926
56,336,   0.02320,   0.56496,   0.86926
57,336,   0.02312,   0.56484,   0.86926
58,336,   0.02682,   0.47473,   0.86926
59,336,   0.02392,   0.51915,   0.86926
60,336,   0.02057,   0.64394,   0.86926
61,336,   0.02259,   0.61156,   0.86926
62,336,   0.02113,   0.62982,   0.86926
63,336,   0.02067,   0.64429,   0.86926
64,336,   0.02082,   0.65581,   0.86926
65,336,   0.01943,   0.68004,   0.86926
66,336,   0.01711,   0.71606,   0.86926
67,336,   0.01702,   0.74340,   0.86926
68,336,   0.01761,   0.71535,   0.86926
69,336,   0.01682,   0.72523,   0.86926
70,336,   0.01649,   0.72967,   0.86926
71,336,   0.01671,   0.71612,   0.86926
72,336,   0.01605,   0.71934,   0.86926
73,336,   0.01511,   0.74059,   0.86926
74,336,   0.01589,   0.72458,   0.86926
75,336,   0.01519,   0.72372,   0.86926
76,336,   0.01346,   0.75506,   0.86926
77,336,   0.01356,   0.73757,   0.86926
78,336,   0.01361,   0.74932,   0.86926
79,336,   0.01316,   0.76163,   0.86926
80,336,   0.01279,   0.75947,   0.86926
81,336,   0.01309,   0.76216,   0.86926
82,336,   0.01258,   0.77036,   0.86926
83,336,   0.01267,   0.76799,   0.86926
84,336,   0.12982,   0.25681,   0.86926
85,336,   0.12998,   0.21647,   0.86926
86,336,   0.11317,   0.28687,   0.86926
87,336,   0.06962,   0.23198,   0.86926
88,336,   0.05404,   0.27367,   0.86926
89,336,   0.05134,   0.29631,   0.86926
90,336,   0.03322,   0.42401,   0.86926
91,336,   0.03092,   0.38701,   0.86926
92,336,   0.02543,   0.51634,   0.86926
93,336,   0.02493,   0.53835,   0.86926
94,336,   0.02526,   0.50071,   0.86926
95,336,   0.02495,   0.52566,   0.86926
96,336,   0.02648,   0.51039,   0.86926
97,336,   0.02306,   0.56099,   0.86926
98,336,   0.02260,   0.56818,   0.86926
99,336,   0.01948,   0.63740,   0.86926
100,336,   0.01807,   0.71043,   0.86926
101,336,   0.01974,   0.62210,   0.86926
102,336,   0.01904,   0.64136,   0.86926
103,336,   0.01884,   0.64045,   0.86926
104,336,   0.02114,   0.56726,   0.86926
105,336,   0.01849,   0.67729,   0.86926
106,336,   0.01773,   0.67093,   0.86926
107,336,   0.01628,   0.72275,   0.86926
108,336,   0.01816,   0.65879,   0.86926
109,336,   0.01697,   0.69238,   0.86926
110,336,   0.01514,   0.75636,   0.86926
111,336,   0.01529,   0.75725,   0.86926
112,336,   0.01658,   0.73038,   0.86926
113,336,   0.01688,   0.71265,   0.86926
114,336,   0.01562,   0.73550,   0.86926
115,336,   0.01414,   0.77438,   0.86926
116,336,   0.01422,   0.76805,   0.86926
117,336,   0.01493,   0.76924,   0.86926
118,336,   0.01429,   0.77607,   0.86926
119,336,   0.01393,   0.77595,   0.86926
120,336,   0.01337,   0.79640,   0.86926
121,336,   0.01390,   0.78311,   0.86926
122,336,   0.01313,   0.79326,   0.86926
123,336,   0.01340,   0.78356,   0.86926
124,336,   0.01303,   0.77000,   0.86926
125,336,   0.01287,   0.79906,   0.86926
126,336,   0.01332,   0.78610,   0.86926
127,336,   0.01272,   0.80448,   0.86926
128,336,   0.01238,   0.79980,   0.86926
129,336,   0.01299,   0.78042,   0.86926
130,336,   0.01263,   0.79489,   0.86926
131,336,   0.01284,   0.78246,   0.86926
132,336,   0.01343,   0.78581,   0.86926
133,336,   0.01271,   0.79045,   0.86926
134,336,   0.01254,   0.79001,   0.86926
135,336,   0.01253,   0.79652,   0.86926
136,336,   0.01235,   0.79223,   0.86926
137,336,   0.02884,   0.45049,   0.86926
138,336,   0.02594,   0.48689,   0.86926
139,336,   0.02254,   0.54060,   0.86926
140,336,   0.02483,   0.48955,   0.86926
141,336,   0.02343,   0.49296,   0.86926
142,336,   0.02070,   0.57653,   0.86926
143,336,   0.01782,   0.65610,   0.86926
144,336,   0.01674,   0.72834,   0.86926
145,336,   0.01831,   0.68596,   0.86926
146,336,   0.01630,   0.73532,   0.86926
147,336,   0.01736,   0.68350,   0.86926
148,336,   0.01756,   0.68569,   0.86926
149,336,   0.02733,   0.47147,   0.86926
150,336,   0.02233,   0.57342,   0.86926
151,336,   0.01699,   0.72582,   0.86926
152,336,   0.01622,   0.73775,   0.86926
153,336,   0.01709,   0.71254,   0.86926
154,336,   0.01625,   0.74313,   0.86926
155,336,   0.01550,   0.76731,   0.86926
156,336,   0.01693,   0.69824,   0.86926
157,336,   0.01491,   0.78832,   0.86926
158,336,   0.01624,   0.71396,   0.86926
159,336,   0.01617,   0.73725,   0.86926
160,336,   0.01457,   0.79273,   0.86926
161,336,   0.01376,   0.79540,   0.86926
162,336,   0.01593,   0.74556,   0.86926
163,336,   0.01644,   0.74183,   0.86926
164,336,   0.01404,   0.81001,   0.86926
165,336,   0.01463,   0.77711,   0.86926
166,336,   0.01671,   0.70727,   0.86926
167,336,   0.01637,   0.72100,   0.86926
168,336,   0.01331,   0.79326,   0.86926
169,336,   0.01411,   0.77509,   0.86926
170,336,   0.01460,   0.77580,   0.86926
171,336,   0.01306,   0.80220,   0.86926
172,336,   0.01340,   0.81214,   0.86926
173,336,   0.01484,   0.76364,   0.86926
174,336,   0.01452,   0.78060,   0.86926
175,336,   0.01467,   0.76127,   0.86926
176,336,   0.01361,   0.79176,   0.86926
177,336,   0.01199,   0.79540,   0.86926
178,336,   0.01207,   0.80987,   0.86926
179,336,   0.01449,   0.78279,   0.86926
180,336,   0.01492,   0.75545,   0.86926
181,336,   0.01294,   0.80226,   0.86926
182,336,   0.01225,   0.80152,   0.86926
183,336,   0.01166,   0.79939,   0.86926
184,336,   0.01170,   0.80226,   0.86926
185,336,   0.01193,   0.80380,   0.86926
186,336,   0.01170,   0.79951,   0.86926
187,336,   0.01174,   0.80433,   0.86926
188,336,   0.01122,   0.81365,   0.86926
189,336,   0.01260,   0.80350,   0.86926
190,336,   0.01291,   0.80179,   0.86926
191,336,   0.01169,   0.79930,   0.86926
192,336,   0.01225,   0.79939,   0.86926
193,336,   0.01138,   0.80276,   0.86926
