epoch,best_epoch,loss,metric,best_metric
1,336,   0.32763,   0.08342,   0.92134
2,336,   0.12190,   0.20576,   0.92134
3,336,   0.07203,   0.22476,   0.92134
4,336,   0.03717,   0.33943,   0.92134
5,336,   0.03463,   0.39015,   0.92134
6,336,   0.04118,   0.29226,   0.92134
7,336,   0.03189,   0.40288,   0.92134
8,336,   0.02440,   0.50547,   0.92134
9,336,   0.02359,   0.50923,   0.92134
10,336,   0.02281,   0.51589,   0.92134
11,336,   0.03803,   0.32505,   0.92134
12,336,   0.03729,   0.32993,   0.92134
13,336,   0.03408,   0.37973,   0.92134
14,336,   0.03332,   0.36408,   0.92134
15,336,   0.03079,   0.41679,   0.92134
16,336,   0.02850,   0.40711,   0.92134
17,336,   0.02451,   0.50799,   0.92134
18,336,   0.02174,   0.59532,   0.92134
19,336,   0.02272,   0.55226,   0.92134
20,336,   0.02294,   0.54134,   0.92134
21,336,   0.01966,   0.61429,   0.92134
22,336,   0.02018,   0.61810,   0.92134
23,336,   0.01893,   0.62885,   0.92134
24,336,   0.01814,   0.64450,   0.92134
25,336,   0.01768,   0.64808,   0.92134
26,336,   0.03295,   0.38539,   0.92134
27,336,   0.02767,   0.45531,   0.92134
28,336,   0.02703,   0.47041,   0.92134
29,336,   0.02244,   0.57676,   0.92134
30,336,   0.03071,   0.42374,   0.92134
31,336,   0.02170,   0.58452,   0.92134
32,336,   0.02206,   0.57854,   0.92134
33,336,   0.02068,   0.59638,   0.92134
34,336,   0.02348,   0.50388,   0.92134
35,336,   0.02065,   0.60082,   0.92134
36,336,   0.02380,   0.51196,   0.92134
37,336,   0.02583,   0.46239,   0.92134
38,336,   0.01814,   0.69318,   0.92134
39,336,   0.01596,   0.73313,   0.92134
40,336,   0.01762,   0.71878,   0.92134
41,336,   0.01684,   0.72991,   0.92134
42,336,   0.01556,   0.72997,   0.92134
43,336,   0.01519,   0.75068,   0.92134
44,336,   0.01462,   0.75524,   0.92134
45,336,   0.01490,   0.74494,   0.92134
46,336,   0.01450,   0.75707,   0.92134
47,336,   0.01468,   0.74964,   0.92134
48,336,   0.01429,   0.75675,   0.92134
49,336,   0.02345,   0.52228,   0.92134
50,336,   0.03018,   0.40427,   0.92134
51,336,   0.02780,   0.38826,   0.92134
52,336,   0.02464,   0.44244,   0.92134
53,336,   0.01970,   0.63485,   0.92134
54,336,   0.02083,   0.59058,   0.92134
55,336,   0.02079,   0.58910,   0.92134
56,336,   0.01912,   0.63903,   0.92134
57,336,   0.01767,   0.68362,   0.92134
58,336,   0.02021,   0.59606,   0.92134
59,336,   0.01811,   0.68632,   0.92134
60,336,   0.01808,   0.69561,   0.92134
61,336,   0.01601,   0.73624,   0.92134
62,336,   0.01610,   0.72781,   0.92134
63,336,   0.01549,   0.74216,   0.92134
64,336,   0.01719,   0.71369,   0.92134
65,336,   0.01715,   0.71487,   0.92134
66,336,   0.01619,   0.73224,   0.92134
67,336,   0.01688,   0.72733,   0.92134
68,336,   0.01501,   0.74337,   0.92134
69,336,   0.01522,   0.74677,   0.92134
70,336,   0.01497,   0.74911,   0.92134
71,336,   0.01427,   0.75648,   0.92134
72,336,   0.01368,   0.77036,   0.92134
73,336,   0.01377,   0.76207,   0.92134
74,336,   0.01420,   0.76039,   0.92134
75,336,   0.01354,   0.76494,   0.92134
76,336,   0.01330,   0.76776,   0.92134
77,336,   0.01316,   0.76900,   0.92134
78,336,   0.01350,   0.76338,   0.92134
79,336,   0.01307,   0.76749,   0.92134
80,336,   0.01328,   0.76885,   0.92134
81,336,   0.01298,   0.77199,   0.92134
82,336,   0.01300,   0.77021,   0.92134
83,336,   0.01320,   0.76669,   0.92134
84,336,   0.02112,   0.55646,   0.92134
85,336,   0.01819,   0.65734,   0.92134
86,336,   0.01777,   0.68688,   0.92134
87,336,   0.02086,   0.55765,   0.92134
88,336,   0.01845,   0.65841,   0.92134
89,336,   0.02318,   0.49358,   0.92134
90,336,   0.02149,   0.56584,   0.92134
91,336,   0.02154,   0.52554,   0.92134
92,336,   0.01876,   0.64699,   0.92134
93,336,   0.01795,   0.65953,   0.92134
94,336,   0.01780,   0.68895,   0.92134
95,336,   0.01880,   0.64557,   0.92134
96,336,   0.01580,   0.74020,   0.92134
97,336,   0.01906,   0.62041,   0.92134
98,336,   0.01567,   0.74163,   0.92134
99,336,   0.01554,   0.74719,   0.92134
100,336,   0.01525,   0.73686,   0.92134
101,336,   0.01874,   0.64648,   0.92134
102,336,   0.01552,   0.75139,   0.92134
103,336,   0.01476,   0.76299,   0.92134
104,336,   0.01457,   0.75882,   0.92134
105,336,   0.01712,   0.70049,   0.92134
106,336,   0.01540,   0.72056,   0.92134
107,336,   0.01409,   0.77666,   0.92134
108,336,   0.01468,   0.77042,   0.92134
109,336,   0.01497,   0.76864,   0.92134
110,336,   0.01388,   0.77548,   0.92134
111,336,   0.01445,   0.77098,   0.92134
112,336,   0.01393,   0.77385,   0.92134
113,336,   0.01325,   0.78279,   0.92134
114,336,   0.01329,   0.79315,   0.92134
115,336,   0.01397,   0.78513,   0.92134
116,336,   0.01423,   0.78042,   0.92134
117,336,   0.01338,   0.79146,   0.92134
118,336,   0.01365,   0.78258,   0.92134
119,336,   0.01243,   0.79418,   0.92134
120,336,   0.01251,   0.80096,   0.92134
121,336,   0.01282,   0.79717,   0.92134
122,336,   0.01348,   0.79344,   0.92134
123,336,   0.01247,   0.80214,   0.92134
124,336,   0.01291,   0.80054,   0.92134
125,336,   0.01224,   0.80726,   0.92134
126,336,   0.01211,   0.80981,   0.92134
127,336,   0.01237,   0.81951,   0.92134
128,336,   0.01175,   0.81431,   0.92134
129,336,   0.01187,   0.81117,   0.92134
130,336,   0.01168,   0.81581,   0.92134
131,336,   0.01141,   0.81620,   0.92134
132,336,   0.01164,   0.81481,   0.92134
133,336,   0.01148,   0.81490,   0.92134
134,336,   0.01145,   0.81898,   0.92134
135,336,   0.01130,   0.81925,   0.92134
136,336,   0.01128,   0.81880,   0.92134
137,336,   0.01831,   0.66551,   0.92134
138,336,   0.01714,   0.70608,   0.92134
139,336,   0.01662,   0.69880,   0.92134
140,336,   0.02087,   0.57099,   0.92134
141,336,   0.02159,   0.51681,   0.92134
142,336,   0.01536,   0.74390,   0.92134
143,336,   0.01862,   0.66273,   0.92134
144,336,   0.01922,   0.64412,   0.92134
145,336,   0.01709,   0.69724,   0.92134
146,336,   0.01510,   0.75935,   0.92134
147,336,   0.01572,   0.72056,   0.92134
148,336,   0.02120,   0.53539,   0.92134
149,336,   0.01878,   0.63909,   0.92134
150,336,   0.02061,   0.55996,   0.92134
151,336,   0.01499,   0.75388,   0.92134
152,336,   0.01541,   0.75041,   0.92134
153,336,   0.01560,   0.73849,   0.92134
154,336,   0.01782,   0.64867,   0.92134
155,336,   0.01577,   0.74139,   0.92134
156,336,   0.01429,   0.76586,   0.92134
157,336,   0.01400,   0.77678,   0.92134
158,336,   0.01410,   0.78285,   0.92134
159,336,   0.01392,   0.77939,   0.92134
160,336,   0.01256,   0.79170,   0.92134
161,336,   0.01333,   0.79250,   0.92134
162,336,   0.01441,   0.77217,   0.92134
163,336,   0.01335,   0.76565,   0.92134
164,336,   0.01236,   0.79989,   0.92134
165,336,   0.01179,   0.80031,   0.92134
166,336,   0.01220,   0.81170,   0.92134
167,336,   0.01225,   0.80927,   0.92134
168,336,   0.01195,   0.81111,   0.92134
169,336,   0.01149,   0.82206,   0.92134
170,336,   0.01109,   0.81945,   0.92134
171,336,   0.01095,   0.82836,   0.92134
172,336,   0.01083,   0.82824,   0.92134
173,336,   0.01078,   0.82407,   0.92134
174,336,   0.01047,   0.83091,   0.92134
175,336,   0.01172,   0.82336,   0.92134
176,336,   0.01030,   0.82804,   0.92134
177,336,   0.01107,   0.83324,   0.92134
178,336,   0.01049,   0.84002,   0.92134
179,336,   0.01016,   0.84218,   0.92134
180,336,   0.00968,   0.84745,   0.92134
181,336,   0.01030,   0.83461,   0.92134
182,336,   0.01019,   0.83339,   0.92134
183,336,   0.00993,   0.85065,   0.92134
184,336,   0.00973,   0.84934,   0.92134
185,336,   0.01045,   0.84360,   0.92134
186,336,   0.00958,   0.84674,   0.92134
187,336,   0.00984,   0.84804,   0.92134
188,336,   0.01014,   0.83200,   0.92134
189,336,   0.00952,   0.83461,   0.92134
190,336,   0.00936,   0.84490,   0.92134
191,336,   0.00926,   0.84843,   0.92134
192,336,   0.00952,   0.83771,   0.92134
193,336,   0.00964,   0.84600,   0.92134
194,336,   0.00910,   0.84730,   0.92134
195,336,   0.00910,   0.84952,   0.92134
196,336,   0.00891,   0.85325,   0.92134
197,336,   0.00914,   0.85283,   0.92134
198,336,   0.00930,   0.84816,   0.92134
199,336,   0.00889,   0.85792,   0.92134
200,336,   0.00905,   0.84848,   0.92134
201,336,   0.00894,   0.84822,   0.92134
202,336,   0.00870,   0.85239,   0.92134
203,336,   0.00863,   0.85310,   0.92134
204,336,   0.00852,   0.85689,   0.92134
205,336,   0.00868,   0.85283,   0.92134
206,336,   0.00869,   0.85278,   0.92134
207,336,   0.00848,   0.85304,   0.92134
208,336,   0.00840,   0.86009,   0.92134
209,336,   0.00840,   0.85911,   0.92134
210,336,   0.00891,   0.85322,   0.92134
211,336,   0.00840,   0.85911,   0.92134
212,336,   0.00851,   0.85650,   0.92134
213,336,   0.00859,   0.85630,   0.92134
214,336,   0.00842,   0.85748,   0.92134
215,336,   0.00842,   0.86230,   0.92134
216,336,   0.00847,   0.85408,   0.92134
217,336,   0.01712,   0.65986,   0.92134
218,336,   0.02230,   0.57789,   0.92134
219,336,   0.02327,   0.56330,   0.92134
220,336,   0.01764,   0.66131,   0.92134
221,336,   0.01599,   0.72203,   0.92134
222,336,   0.01666,   0.67081,   0.92134
223,336,   0.01590,   0.70564,   0.92134
224,336,   0.01309,   0.80312,   0.92134
225,336,   0.01377,   0.79386,   0.92134
226,336,   0.01313,   0.80794,   0.92134
227,336,   0.01408,   0.75311,   0.92134
228,336,   0.01131,   0.82691,   0.92134
229,336,   0.01187,   0.82576,   0.92134
230,336,   0.01444,   0.78317,   0.92134
231,336,   0.01192,   0.82934,   0.92134
232,336,   0.01118,   0.83612,   0.92134
233,336,   0.01074,   0.83833,   0.92134
234,336,   0.01164,   0.82170,   0.92134
235,336,   0.01143,   0.83064,   0.92134
236,336,   0.01259,   0.81046,   0.92134
237,336,   0.01405,   0.77400,   0.92134
238,336,   0.01262,   0.80747,   0.92134
239,336,   0.01113,   0.83209,   0.92134
240,336,   0.01118,   0.84399,   0.92134
241,336,   0.01051,   0.84928,   0.92134
242,336,   0.01039,   0.84067,   0.92134
243,336,   0.01134,   0.84348,   0.92134
244,336,   0.01092,   0.84322,   0.92134
245,336,   0.01074,   0.84783,   0.92134
246,336,   0.01131,   0.84464,   0.92134
247,336,   0.01073,   0.84822,   0.92134
248,336,   0.01157,   0.83410,   0.92134
249,336,   0.01128,   0.85195,   0.92134
250,336,   0.01280,   0.82949,   0.92134
251,336,   0.01332,   0.81099,   0.92134
252,336,   0.01057,   0.85292,   0.92134
253,336,   0.01087,   0.84843,   0.92134
254,336,   0.01041,   0.84698,   0.92134
255,336,   0.01082,   0.85813,   0.92134
256,336,   0.00995,   0.85526,   0.92134
257,336,   0.00961,   0.86080,   0.92134
258,336,   0.00952,   0.86665,   0.92134
259,336,   0.00901,   0.87050,   0.92134
260,336,   0.00946,   0.86216,   0.92134
261,336,   0.00993,   0.87154,   0.92134
262,336,   0.01063,   0.86710,   0.92134
263,336,   0.01003,   0.86281,   0.92134
264,336,   0.01117,   0.85689,   0.92134
265,336,   0.00961,   0.87154,   0.92134
266,336,   0.00939,   0.86325,   0.92134
267,336,   0.00930,   0.87257,   0.92134
268,336,   0.00990,   0.87133,   0.92134
269,336,   0.00928,   0.88261,   0.92134
270,336,   0.00903,   0.88429,   0.92134
271,336,   0.01043,   0.85283,   0.92134
272,336,   0.00978,   0.85766,   0.92134
273,336,   0.00887,   0.87571,   0.92134
274,336,   0.00999,   0.87263,   0.92134
275,336,   0.00887,   0.88320,   0.92134
276,336,   0.00837,   0.88994,   0.92134
277,336,   0.00845,   0.89524,   0.92134
278,336,   0.00872,   0.88814,   0.92134
279,336,   0.00818,   0.88613,   0.92134
280,336,   0.00844,   0.89335,   0.92134
281,336,   0.00909,   0.88104,   0.92134
282,336,   0.00892,   0.88142,   0.92134
283,336,   0.00930,   0.88012,   0.92134
284,336,   0.00938,   0.88891,   0.92134
285,336,   0.00843,   0.89172,   0.92134
286,336,   0.00855,   0.88858,   0.92134
287,336,   0.00798,   0.89048,   0.92134
288,336,   0.00782,   0.89530,   0.92134
289,336,   0.00766,   0.89790,   0.92134
290,336,   0.00751,   0.90208,   0.92134
291,336,   0.00827,   0.89367,   0.92134
292,336,   0.00797,   0.90305,   0.92134
293,336,   0.00778,   0.89687,   0.92134
294,336,   0.00778,   0.89660,   0.92134
295,336,   0.00731,   0.90279,   0.92134
296,336,   0.00748,   0.90187,   0.92134
297,336,   0.00763,   0.90572,   0.92134
298,336,   0.00738,   0.91119,   0.92134
299,336,   0.00778,   0.90382,   0.92134
300,336,   0.00774,   0.90089,   0.92134
301,336,   0.00718,   0.91255,   0.92134
302,336,   0.00694,   0.91477,   0.92134
303,336,   0.00693,   0.91445,   0.92134
304,336,   0.00732,   0.90968,   0.92134
305,336,   0.00788,   0.91054,   0.92134
306,336,   0.00706,   0.91353,   0.92134
307,336,   0.00691,   0.91634,   0.92134
308,336,   0.00718,   0.90936,   0.92134
309,336,   0.00715,   0.91131,   0.92134
310,336,   0.00689,   0.91093,   0.92134
311,336,   0.00717,   0.91125,   0.92134
312,336,   0.00768,   0.91131,   0.92134
313,336,   0.00713,   0.91282,   0.92134
314,336,   0.00668,   0.91602,   0.92134
315,336,   0.00679,   0.91483,   0.92134
316,336,   0.00698,   0.90888,   0.92134
317,336,   0.00664,   0.91960,   0.92134
318,336,   0.00650,   0.91607,   0.92134
319,336,   0.00666,   0.91451,   0.92134
320,336,   0.00675,   0.91587,   0.92134
321,336,   0.00642,   0.91711,   0.92134
322,336,   0.00666,   0.92122,   0.92134
323,336,   0.00643,   0.91835,   0.92134
324,336,   0.00658,   0.91900,   0.92134
325,336,   0.00648,   0.91711,   0.92134
326,336,   0.00689,   0.91835,   0.92134
327,336,   0.00639,   0.91874,   0.92134
328,336,   0.00633,   0.91874,   0.92134
329,336,   0.00627,   0.91841,   0.92134
330,336,   0.00644,   0.92069,   0.92134
331,336,   0.00635,   0.92004,   0.92134
332,336,   0.00620,   0.91933,   0.92134
333,336,   0.00633,   0.92037,   0.92134
334,336,   0.00646,   0.91658,   0.92134
335,336,   0.00644,   0.92004,   0.92134
336,336,   0.00643,   0.92134,   0.92134
337,336,   0.01155,   0.86464,   0.92134
338,336,   0.02441,   0.60112,   0.92134
339,336,   0.09574,   0.22606,   0.92134
340,336,   0.05154,   0.31007,   0.92134
341,336,   0.03418,   0.38015,   0.92134
342,336,   0.03119,   0.36636,   0.92134
343,336,   0.02868,   0.42398,   0.92134
344,336,   0.02367,   0.56806,   0.92134
345,336,   0.02060,   0.58904,   0.92134
346,336,   0.02053,   0.58174,   0.92134
347,336,   0.01770,   0.67241,   0.92134
348,336,   0.01731,   0.69996,   0.92134
349,336,   0.01777,   0.70895,   0.92134
350,336,   0.01725,   0.69632,   0.92134
