epoch,best_epoch,loss,metric,best_metric
1,285,   1.66982,   0.00000,   0.94108
2,285,   0.83476,   0.02051,   0.94108
3,285,   0.39074,   0.01921,   0.94108
4,285,   0.21067,   0.16013,   0.94108
5,285,   0.11285,   0.37586,   0.94108
6,285,   0.09736,   0.36716,   0.94108
7,285,   0.06950,   0.31655,   0.94108
8,285,   0.04125,   0.35701,   0.94108
9,285,   0.04327,   0.34967,   0.94108
10,285,   0.03189,   0.43179,   0.94108
11,285,   0.02724,   0.47638,   0.94108
12,285,   0.02641,   0.49725,   0.94108
13,285,   0.02254,   0.59988,   0.94108
14,285,   0.02096,   0.59570,   0.94108
15,285,   0.02098,   0.59443,   0.94108
16,285,   0.01899,   0.65166,   0.94108
17,285,   0.01731,   0.69946,   0.94108
18,285,   0.02117,   0.58774,   0.94108
19,285,   0.02109,   0.58576,   0.94108
20,285,   0.02156,   0.54753,   0.94108
21,285,   0.02500,   0.48112,   0.94108
22,285,   0.03110,   0.35621,   0.94108
23,285,   0.02955,   0.37799,   0.94108
24,285,   0.02219,   0.55723,   0.94108
25,285,   0.02141,   0.54750,   0.94108
26,285,   0.01743,   0.69019,   0.94108
27,285,   0.02073,   0.57176,   0.94108
28,285,   0.02296,   0.53279,   0.94108
29,285,   0.01951,   0.60502,   0.94108
30,285,   0.02112,   0.59828,   0.94108
31,285,   0.01823,   0.67146,   0.94108
32,285,   0.02044,   0.58034,   0.94108
33,285,   0.01798,   0.63503,   0.94108
34,285,   0.04856,   0.28374,   0.94108
35,285,   0.03722,   0.33330,   0.94108
36,285,   0.03362,   0.35100,   0.94108
37,285,   0.03136,   0.33943,   0.94108
38,285,   0.03134,   0.31732,   0.94108
39,285,   0.02232,   0.57647,   0.94108
40,285,   0.02006,   0.60772,   0.94108
41,285,   0.01885,   0.64654,   0.94108
42,285,   0.01580,   0.72047,   0.94108
43,285,   0.01753,   0.69463,   0.94108
44,285,   0.02034,   0.58316,   0.94108
45,285,   0.01539,   0.76349,   0.94108
46,285,   0.01703,   0.70061,   0.94108
47,285,   0.01946,   0.62112,   0.94108
48,285,   0.02205,   0.52427,   0.94108
49,285,   0.01593,   0.77060,   0.94108
50,285,   0.01446,   0.80205,   0.94108
51,285,   0.01322,   0.81940,   0.94108
52,285,   0.01610,   0.71280,   0.94108
53,285,   0.01618,   0.75296,   0.94108
54,285,   0.02092,   0.55694,   0.94108
55,285,   0.01754,   0.66912,   0.94108
56,285,   0.01583,   0.72390,   0.94108
57,285,   0.01650,   0.73361,   0.94108
58,285,   0.01782,   0.67111,   0.94108
59,285,   0.01671,   0.72609,   0.94108
60,285,   0.01329,   0.81339,   0.94108
61,285,   0.01562,   0.76083,   0.94108
62,285,   0.01584,   0.76246,   0.94108
63,285,   0.01510,   0.79918,   0.94108
64,285,   0.01659,   0.70656,   0.94108
65,285,   0.01582,   0.71656,   0.94108
66,285,   0.01752,   0.70055,   0.94108
67,285,   0.02057,   0.56439,   0.94108
68,285,   0.01582,   0.72257,   0.94108
69,285,   0.01946,   0.61461,   0.94108
70,285,   0.01529,   0.76403,   0.94108
71,285,   0.01510,   0.74263,   0.94108
72,285,   0.01348,   0.80753,   0.94108
73,285,   0.01428,   0.78681,   0.94108
74,285,   0.01326,   0.79587,   0.94108
75,285,   0.01501,   0.74926,   0.94108
76,285,   0.01795,   0.64347,   0.94108
77,285,   0.01410,   0.81658,   0.94108
78,285,   0.01347,   0.81442,   0.94108
79,285,   0.01335,   0.81064,   0.94108
80,285,   0.01175,   0.84470,   0.94108
81,285,   0.01302,   0.82993,   0.94108
82,285,   0.01883,   0.65004,   0.94108
83,285,   0.01938,   0.59393,   0.94108
84,285,   0.01775,   0.64761,   0.94108
85,285,   0.01638,   0.74784,   0.94108
86,285,   0.01628,   0.74130,   0.94108
87,285,   0.01767,   0.65459,   0.94108
88,285,   0.01505,   0.76429,   0.94108
89,285,   0.01511,   0.77145,   0.94108
90,285,   0.01521,   0.74000,   0.94108
91,285,   0.01581,   0.74355,   0.94108
92,285,   0.01868,   0.61083,   0.94108
93,285,   0.01260,   0.82028,   0.94108
94,285,   0.01445,   0.76716,   0.94108
95,285,   0.01435,   0.76861,   0.94108
96,285,   0.01654,   0.71387,   0.94108
97,285,   0.01460,   0.76613,   0.94108
98,285,   0.01220,   0.85890,   0.94108
99,285,   0.01401,   0.81638,   0.94108
100,285,   0.01278,   0.82765,   0.94108
101,285,   0.01472,   0.78696,   0.94108
102,285,   0.01488,   0.76139,   0.94108
103,285,   0.01385,   0.80700,   0.94108
104,285,   0.01514,   0.73970,   0.94108
105,285,   0.01866,   0.64702,   0.94108
106,285,   0.01435,   0.78806,   0.94108
107,285,   0.01328,   0.83520,   0.94108
108,285,   0.01604,   0.71177,   0.94108
109,285,   0.01612,   0.70150,   0.94108
110,285,   0.01186,   0.83866,   0.94108
111,285,   0.01400,   0.76548,   0.94108
112,285,   0.01426,   0.79140,   0.94108
113,285,   0.01231,   0.83591,   0.94108
114,285,   0.01021,   0.88408,   0.94108
115,285,   0.01489,   0.75234,   0.94108
116,285,   0.01629,   0.69658,   0.94108
117,285,   0.01268,   0.83623,   0.94108
118,285,   0.01253,   0.82910,   0.94108
119,285,   0.01157,   0.86618,   0.94108
120,285,   0.01104,   0.89160,   0.94108
121,285,   0.01010,   0.87595,   0.94108
122,285,   0.01026,   0.88639,   0.94108
123,285,   0.01132,   0.84360,   0.94108
124,285,   0.01427,   0.75908,   0.94108
125,285,   0.01342,   0.80605,   0.94108
126,285,   0.01307,   0.80617,   0.94108
127,285,   0.01180,   0.85727,   0.94108
128,285,   0.01767,   0.66770,   0.94108
129,285,   0.01644,   0.66779,   0.94108
130,285,   0.01643,   0.68442,   0.94108
131,285,   0.01355,   0.78681,   0.94108
132,285,   0.00972,   0.89607,   0.94108
133,285,   0.01166,   0.82386,   0.94108
134,285,   0.01307,   0.77862,   0.94108
135,285,   0.00927,   0.89498,   0.94108
136,285,   0.01404,   0.74420,   0.94108
137,285,   0.01277,   0.78971,   0.94108
138,285,   0.01355,   0.77992,   0.94108
139,285,   0.00943,   0.89684,   0.94108
140,285,   0.01225,   0.80990,   0.94108
141,285,   0.01933,   0.58928,   0.94108
142,285,   0.06924,   0.36423,   0.94108
143,285,   0.12401,   0.17072,   0.94108
144,285,   0.11783,   0.15885,   0.94108
145,285,   0.17962,   0.15267,   0.94108
146,285,   0.21982,   0.12630,   0.94108
147,285,   0.12108,   0.26858,   0.94108
148,285,   0.11737,   0.25941,   0.94108
149,285,   0.11328,   0.23316,   0.94108
150,285,   0.10284,   0.21505,   0.94108
151,285,   0.08265,   0.20212,   0.94108
152,285,   0.04480,   0.28448,   0.94108
153,285,   0.04633,   0.30939,   0.94108
154,285,   0.04990,   0.27427,   0.94108
155,285,   0.03761,   0.32005,   0.94108
156,285,   0.03549,   0.38713,   0.94108
157,285,   0.03324,   0.39725,   0.94108
158,285,   0.03180,   0.41184,   0.94108
159,285,   0.02881,   0.46934,   0.94108
160,285,   0.03524,   0.36085,   0.94108
161,285,   0.03281,   0.43590,   0.94108
162,285,   0.03498,   0.39690,   0.94108
163,285,   0.03042,   0.45910,   0.94108
164,285,   0.02691,   0.51530,   0.94108
165,285,   0.02618,   0.52474,   0.94108
166,285,   0.02801,   0.48855,   0.94108
167,285,   0.02750,   0.51024,   0.94108
168,285,   0.02732,   0.48233,   0.94108
169,285,   0.02637,   0.47201,   0.94108
170,285,   0.02673,   0.43561,   0.94108
171,285,   0.02502,   0.52299,   0.94108
172,285,   0.02468,   0.50740,   0.94108
173,285,   0.02613,   0.48355,   0.94108
174,285,   0.02807,   0.44147,   0.94108
175,285,   0.03107,   0.37994,   0.94108
176,285,   0.02492,   0.51642,   0.94108
177,285,   0.02250,   0.54545,   0.94108
178,285,   0.02295,   0.53522,   0.94108
179,285,   0.02744,   0.41983,   0.94108
180,285,   0.02417,   0.50743,   0.94108
181,285,   0.02359,   0.53166,   0.94108
182,285,   0.02164,   0.60106,   0.94108
183,285,   0.02380,   0.51719,   0.94108
184,285,   0.02367,   0.50701,   0.94108
185,285,   0.02530,   0.46035,   0.94108
186,285,   0.03203,   0.33848,   0.94108
187,285,   0.02819,   0.39489,   0.94108
188,285,   0.02405,   0.49272,   0.94108
189,285,   0.02191,   0.55288,   0.94108
190,285,   0.02076,   0.59337,   0.94108
191,285,   0.02399,   0.46455,   0.94108
192,285,   0.02238,   0.50704,   0.94108
193,285,   0.02319,   0.50201,   0.94108
194,285,   0.02085,   0.55697,   0.94108
195,285,   0.02398,   0.48772,   0.94108
196,285,   0.02348,   0.48414,   0.94108
197,285,   0.02374,   0.45312,   0.94108
198,285,   0.02050,   0.56428,   0.94108
199,285,   0.01893,   0.57449,   0.94108
200,285,   0.02074,   0.55794,   0.94108
201,285,   0.02107,   0.51562,   0.94108
202,285,   0.02100,   0.57253,   0.94108
203,285,   0.01771,   0.67557,   0.94108
204,285,   0.02465,   0.44821,   0.94108
205,285,   0.01670,   0.69721,   0.94108
206,285,   0.02399,   0.47035,   0.94108
207,285,   0.01778,   0.65915,   0.94108
208,285,   0.02485,   0.45762,   0.94108
209,285,   0.02365,   0.50832,   0.94108
210,285,   0.01688,   0.69312,   0.94108
211,285,   0.01633,   0.71141,   0.94108
212,285,   0.01421,   0.77992,   0.94108
213,285,   0.01381,   0.78013,   0.94108
214,285,   0.01409,   0.78820,   0.94108
215,285,   0.01564,   0.72476,   0.94108
216,285,   0.02472,   0.50228,   0.94108
217,285,   0.01981,   0.59996,   0.94108
218,285,   0.01662,   0.67717,   0.94108
219,285,   0.01280,   0.81620,   0.94108
220,285,   0.01397,   0.78039,   0.94108
221,285,   0.01599,   0.71094,   0.94108
222,285,   0.01322,   0.81019,   0.94108
223,285,   0.01609,   0.70727,   0.94108
224,285,   0.02022,   0.63287,   0.94108
225,285,   0.02737,   0.42229,   0.94108
226,285,   0.01412,   0.78004,   0.94108
227,285,   0.01259,   0.82623,   0.94108
228,285,   0.01296,   0.81898,   0.94108
229,285,   0.02087,   0.58097,   0.94108
230,285,   0.01693,   0.67939,   0.94108
231,285,   0.01496,   0.74529,   0.94108
232,285,   0.01134,   0.86506,   0.94108
233,285,   0.01465,   0.75559,   0.94108
234,285,   0.01263,   0.81638,   0.94108
235,285,   0.01108,   0.87213,   0.94108
236,285,   0.01385,   0.76562,   0.94108
237,285,   0.01443,   0.75545,   0.94108
238,285,   0.01117,   0.86698,   0.94108
239,285,   0.01412,   0.77012,   0.94108
240,285,   0.01447,   0.76270,   0.94108
241,285,   0.01285,   0.81951,   0.94108
242,285,   0.01146,   0.86932,   0.94108
243,285,   0.00974,   0.90462,   0.94108
244,285,   0.01003,   0.90995,   0.94108
245,285,   0.00915,   0.90924,   0.94108
246,285,   0.01245,   0.84517,   0.94108
247,285,   0.01053,   0.89453,   0.94108
248,285,   0.01099,   0.88912,   0.94108
249,285,   0.01010,   0.90110,   0.94108
250,285,   0.01059,   0.88009,   0.94108
251,285,   0.00987,   0.89876,   0.94108
252,285,   0.00996,   0.90329,   0.94108
253,285,   0.00953,   0.91646,   0.94108
254,285,   0.01249,   0.85062,   0.94108
255,285,   0.01161,   0.85260,   0.94108
256,285,   0.01240,   0.80312,   0.94108
257,285,   0.01241,   0.82067,   0.94108
258,285,   0.00897,   0.91418,   0.94108
259,285,   0.01343,   0.79232,   0.94108
260,285,   0.01413,   0.76349,   0.94108
261,285,   0.01005,   0.88598,   0.94108
262,285,   0.00795,   0.92877,   0.94108
263,285,   0.00894,   0.88118,   0.94108
264,285,   0.01329,   0.77944,   0.94108
265,285,   0.01069,   0.89622,   0.94108
266,285,   0.00823,   0.93436,   0.94108
267,285,   0.01213,   0.84464,   0.94108
268,285,   0.01116,   0.85858,   0.94108
269,285,   0.00902,   0.91223,   0.94108
270,285,   0.00978,   0.89790,   0.94108
271,285,   0.00983,   0.91223,   0.94108
272,285,   0.01060,   0.85337,   0.94108
273,285,   0.01007,   0.89308,   0.94108
274,285,   0.01144,   0.83434,   0.94108
275,285,   0.01060,   0.89276,   0.94108
276,285,   0.00876,   0.92868,   0.94108
277,285,   0.01217,   0.80898,   0.94108
278,285,   0.01052,   0.89941,   0.94108
279,285,   0.00930,   0.90924,   0.94108
280,285,   0.00798,   0.92557,   0.94108
281,285,   0.00861,   0.92682,   0.94108
282,285,   0.01035,   0.89048,   0.94108
283,285,   0.00944,   0.91673,   0.94108
284,285,   0.00842,   0.93522,   0.94108
285,285,   0.00769,   0.94108,   0.94108
286,285,   0.00920,   0.92492,   0.94108
287,285,   0.01069,   0.87346,   0.94108
288,285,   0.01013,   0.88411,   0.94108
289,285,   0.01430,   0.77140,   0.94108
290,285,   0.00946,   0.91001,   0.94108
291,285,   0.00996,   0.90403,   0.94108
292,285,   0.01140,   0.86867,   0.94108
293,285,   0.00912,   0.91087,   0.94108
294,285,   0.00746,   0.93593,   0.94108
295,285,   0.00836,   0.91276,   0.94108
296,285,   0.00974,   0.86293,   0.94108
297,285,   0.00945,   0.91347,   0.94108
298,285,   0.00837,   0.93496,   0.94108
299,285,   0.00912,   0.93410,   0.94108
300,285,   0.00932,   0.91658,   0.94108
301,285,   0.00741,   0.93046,   0.94108
302,285,   0.00688,   0.93984,   0.94108
303,285,   0.00827,   0.93046,   0.94108
304,285,   0.00838,   0.93040,   0.94108
305,285,   0.00873,   0.92330,   0.94108
306,285,   0.00763,   0.93007,   0.94108
307,285,   0.00822,   0.92297,   0.94108
308,285,   0.00746,   0.93788,   0.94108
309,285,   0.00834,   0.92975,   0.94108
310,285,   0.00767,   0.92969,   0.94108
311,285,   0.00914,   0.91607,   0.94108
312,285,   0.00854,   0.91900,   0.94108
313,285,   0.00855,   0.92519,   0.94108
314,285,   0.01503,   0.75003,   0.94108
315,285,   0.01093,   0.86494,   0.94108
316,285,   0.00785,   0.90820,   0.94108
317,285,   0.00890,   0.92253,   0.94108
318,285,   0.00962,   0.90474,   0.94108
319,285,   0.00823,   0.92492,   0.94108
320,285,   0.00851,   0.92839,   0.94108
321,285,   0.00854,   0.90859,   0.94108
322,285,   0.00781,   0.91906,   0.94108
323,285,   0.00888,   0.92356,   0.94108
324,285,   0.00828,   0.93658,   0.94108
325,285,   0.00794,   0.92395,   0.94108
326,285,   0.00898,   0.91803,   0.94108
327,285,   0.00750,   0.93046,   0.94108
328,285,   0.01192,   0.83239,   0.94108
329,285,   0.04314,   0.37760,   0.94108
330,285,   0.06068,   0.21416,   0.94108
331,285,   0.03628,   0.38033,   0.94108
332,285,   0.04167,   0.34032,   0.94108
333,285,   0.03487,   0.30978,   0.94108
334,285,   0.02977,   0.46185,   0.94108
335,285,   0.02564,   0.45659,   0.94108
336,285,   0.02334,   0.51349,   0.94108
337,285,   0.02224,   0.60760,   0.94108
338,285,   0.02455,   0.51551,   0.94108
339,285,   0.02128,   0.61615,   0.94108
340,285,   0.02118,   0.64326,   0.94108
341,285,   0.02150,   0.59769,   0.94108
342,285,   0.02200,   0.59437,   0.94108
343,285,   0.02058,   0.63826,   0.94108
344,285,   0.02017,   0.65622,   0.94108
345,285,   0.01845,   0.68531,   0.94108
346,285,   0.02491,   0.45605,   0.94108
347,285,   0.02089,   0.63764,   0.94108
348,285,   0.02129,   0.56898,   0.94108
349,285,   0.01759,   0.69505,   0.94108
350,285,   0.01604,   0.73695,   0.94108
