epoch,best_epoch,loss,metric,best_metric
1,309,   1.39187,   0.00000,   0.72772
2,309,   0.42830,   0.04167,   0.72772
3,309,   0.25921,   0.11722,   0.72772
4,309,   0.14611,   0.18768,   0.72772
5,309,   0.12652,   0.22198,   0.72772
6,309,   0.12413,   0.30563,   0.72772
7,309,   0.12152,   0.33336,   0.72772
8,309,   0.11906,   0.40951,   0.72772
9,309,   0.11675,   0.41770,   0.72772
10,309,   0.12140,   0.41202,   0.72772
11,309,   0.12831,   0.26187,   0.72772
12,309,   0.12744,   0.23091,   0.72772
13,309,   0.12134,   0.26622,   0.72772
14,309,   0.11811,   0.29010,   0.72772
15,309,   0.11472,   0.27580,   0.72772
16,309,   0.11329,   0.28977,   0.72772
17,309,   0.11201,   0.28474,   0.72772
18,309,   0.10733,   0.33259,   0.72772
19,309,   0.10377,   0.34665,   0.72772
20,309,   0.10189,   0.42699,   0.72772
21,309,   0.09991,   0.46209,   0.72772
22,309,   0.10031,   0.48807,   0.72772
23,309,   0.09674,   0.50379,   0.72772
24,309,   0.09399,   0.49825,   0.72772
25,309,   0.09346,   0.49089,   0.72772
26,309,   0.11149,   0.21686,   0.72772
27,309,   0.10772,   0.27145,   0.72772
28,309,   0.11137,   0.24624,   0.72772
29,309,   0.10472,   0.26924,   0.72772
30,309,   0.10390,   0.27341,   0.72772
31,309,   0.10225,   0.23621,   0.72772
32,309,   0.09563,   0.26391,   0.72772
33,309,   0.09469,   0.26033,   0.72772
34,309,   0.08994,   0.26924,   0.72772
35,309,   0.08725,   0.28566,   0.72772
36,309,   0.08391,   0.25914,   0.72772
37,309,   0.08163,   0.28087,   0.72772
38,309,   0.07778,   0.29386,   0.72772
39,309,   0.07856,   0.28729,   0.72772
40,309,   0.07536,   0.35689,   0.72772
41,309,   0.07327,   0.36174,   0.72772
42,309,   0.07049,   0.38870,   0.72772
43,309,   0.06641,   0.43889,   0.72772
44,309,   0.06500,   0.45096,   0.72772
45,309,   0.06308,   0.46159,   0.72772
46,309,   0.06245,   0.45312,   0.72772
47,309,   0.06260,   0.45218,   0.72772
48,309,   0.06063,   0.45898,   0.72772
49,309,   0.07902,   0.29060,   0.72772
50,309,   0.07743,   0.26104,   0.72772
51,309,   0.07406,   0.27660,   0.72772
52,309,   0.06860,   0.28809,   0.72772
53,309,   0.06706,   0.27373,   0.72772
54,309,   0.06389,   0.26734,   0.72772
55,309,   0.06534,   0.22970,   0.72772
56,309,   0.06016,   0.25009,   0.72772
57,309,   0.05839,   0.24532,   0.72772
58,309,   0.05341,   0.29519,   0.72772
59,309,   0.05096,   0.32117,   0.72772
60,309,   0.04798,   0.29978,   0.72772
61,309,   0.04719,   0.28252,   0.72772
62,309,   0.04432,   0.30424,   0.72772
63,309,   0.04232,   0.30463,   0.72772
64,309,   0.04259,   0.27684,   0.72772
65,309,   0.04005,   0.27971,   0.72772
66,309,   0.03890,   0.29764,   0.72772
67,309,   0.03509,   0.37269,   0.72772
68,309,   0.03495,   0.33904,   0.72772
69,309,   0.03336,   0.41504,   0.72772
70,309,   0.03082,   0.44951,   0.72772
71,309,   0.03007,   0.42785,   0.72772
72,309,   0.02876,   0.44437,   0.72772
73,309,   0.02792,   0.49154,   0.72772
74,309,   0.02619,   0.53027,   0.72772
75,309,   0.02562,   0.56543,   0.72772
76,309,   0.02524,   0.57585,   0.72772
77,309,   0.02464,   0.60485,   0.72772
78,309,   0.02398,   0.61630,   0.72772
79,309,   0.02340,   0.61663,   0.72772
80,309,   0.02310,   0.61849,   0.72772
81,309,   0.02308,   0.62086,   0.72772
82,309,   0.02262,   0.62894,   0.72772
83,309,   0.02244,   0.62065,   0.72772
84,309,   0.04661,   0.24982,   0.72772
85,309,   0.04749,   0.21493,   0.72772
86,309,   0.04494,   0.33265,   0.72772
87,309,   0.04408,   0.32469,   0.72772
88,309,   0.04368,   0.30954,   0.72772
89,309,   0.04154,   0.33526,   0.72772
90,309,   0.04023,   0.31928,   0.72772
91,309,   0.04103,   0.31123,   0.72772
92,309,   0.03975,   0.28883,   0.72772
93,309,   0.03820,   0.38459,   0.72772
94,309,   0.03783,   0.32715,   0.72772
95,309,   0.03730,   0.33256,   0.72772
96,309,   0.03706,   0.25568,   0.72772
97,309,   0.03588,   0.31028,   0.72772
98,309,   0.03431,   0.34402,   0.72772
99,309,   0.03427,   0.26675,   0.72772
100,309,   0.03395,   0.34502,   0.72772
101,309,   0.03362,   0.33472,   0.72772
102,309,   0.03219,   0.34129,   0.72772
103,309,   0.03131,   0.37021,   0.72772
104,309,   0.03152,   0.32774,   0.72772
105,309,   0.02952,   0.37059,   0.72772
106,309,   0.02955,   0.35710,   0.72772
107,309,   0.02880,   0.38719,   0.72772
108,309,   0.02760,   0.40832,   0.72772
109,309,   0.02806,   0.39128,   0.72772
110,309,   0.02636,   0.43167,   0.72772
111,309,   0.02582,   0.44360,   0.72772
112,309,   0.02557,   0.45836,   0.72772
113,309,   0.02498,   0.47301,   0.72772
114,309,   0.02440,   0.48938,   0.72772
115,309,   0.02436,   0.49281,   0.72772
116,309,   0.02316,   0.55883,   0.72772
117,309,   0.02313,   0.57070,   0.72772
118,309,   0.02235,   0.58570,   0.72772
119,309,   0.02234,   0.61426,   0.72772
120,309,   0.02182,   0.62391,   0.72772
121,309,   0.02140,   0.63725,   0.72772
122,309,   0.02102,   0.64237,   0.72772
123,309,   0.02064,   0.64734,   0.72772
124,309,   0.02036,   0.65184,   0.72772
125,309,   0.01972,   0.65779,   0.72772
126,309,   0.01991,   0.65868,   0.72772
127,309,   0.01938,   0.66566,   0.72772
128,309,   0.01934,   0.66285,   0.72772
129,309,   0.01988,   0.66368,   0.72772
130,309,   0.01897,   0.66702,   0.72772
131,309,   0.01883,   0.66989,   0.72772
132,309,   0.01922,   0.66152,   0.72772
133,309,   0.01900,   0.67321,   0.72772
134,309,   0.01878,   0.66199,   0.72772
135,309,   0.01866,   0.66714,   0.72772
136,309,   0.01873,   0.67034,   0.72772
137,309,   0.03446,   0.29255,   0.72772
138,309,   0.03471,   0.27205,   0.72772
139,309,   0.03422,   0.30031,   0.72772
140,309,   0.03349,   0.34822,   0.72772
141,309,   0.03301,   0.39267,   0.72772
142,309,   0.03247,   0.40803,   0.72772
143,309,   0.03281,   0.40530,   0.72772
144,309,   0.03304,   0.26631,   0.72772
145,309,   0.03348,   0.28258,   0.72772
146,309,   0.03257,   0.31584,   0.72772
147,309,   0.03162,   0.35088,   0.72772
148,309,   0.03233,   0.33952,   0.72772
149,309,   0.03137,   0.35878,   0.72772
150,309,   0.03084,   0.36029,   0.72772
151,309,   0.03084,   0.35695,   0.72772
152,309,   0.03032,   0.36719,   0.72772
153,309,   0.03064,   0.35541,   0.72772
154,309,   0.02978,   0.37630,   0.72772
155,309,   0.02995,   0.35343,   0.72772
156,309,   0.02945,   0.39681,   0.72772
157,309,   0.02920,   0.34854,   0.72772
158,309,   0.02901,   0.36056,   0.72772
159,309,   0.02868,   0.37092,   0.72772
160,309,   0.02819,   0.37328,   0.72772
161,309,   0.02825,   0.39560,   0.72772
162,309,   0.02730,   0.40033,   0.72772
163,309,   0.02710,   0.40415,   0.72772
164,309,   0.02703,   0.42694,   0.72772
165,309,   0.02667,   0.44975,   0.72772
166,309,   0.02618,   0.45765,   0.72772
167,309,   0.02624,   0.45407,   0.72772
168,309,   0.02553,   0.45913,   0.72772
169,309,   0.02531,   0.46345,   0.72772
170,309,   0.02505,   0.46271,   0.72772
171,309,   0.02502,   0.46535,   0.72772
172,309,   0.02443,   0.48364,   0.72772
173,309,   0.02449,   0.47263,   0.72772
174,309,   0.02396,   0.47937,   0.72772
175,309,   0.02358,   0.49384,   0.72772
176,309,   0.02274,   0.50648,   0.72772
177,309,   0.02245,   0.51779,   0.72772
178,309,   0.02300,   0.50669,   0.72772
179,309,   0.02221,   0.51956,   0.72772
180,309,   0.02173,   0.54477,   0.72772
181,309,   0.02147,   0.55362,   0.72772
182,309,   0.02183,   0.56102,   0.72772
183,309,   0.02148,   0.59215,   0.72772
184,309,   0.02109,   0.59585,   0.72772
185,309,   0.02095,   0.60127,   0.72772
186,309,   0.02030,   0.63909,   0.72772
187,309,   0.02034,   0.62574,   0.72772
188,309,   0.02005,   0.62177,   0.72772
189,309,   0.01993,   0.65359,   0.72772
190,309,   0.01937,   0.67998,   0.72772
191,309,   0.01935,   0.67620,   0.72772
192,309,   0.01931,   0.69105,   0.72772
193,309,   0.01909,   0.68152,   0.72772
194,309,   0.01902,   0.68537,   0.72772
195,309,   0.01877,   0.68498,   0.72772
196,309,   0.01846,   0.68179,   0.72772
197,309,   0.01804,   0.69724,   0.72772
198,309,   0.01788,   0.70108,   0.72772
199,309,   0.01793,   0.68596,   0.72772
200,309,   0.01788,   0.69090,   0.72772
201,309,   0.01778,   0.69886,   0.72772
202,309,   0.01830,   0.69129,   0.72772
203,309,   0.01730,   0.70031,   0.72772
204,309,   0.01733,   0.69161,   0.72772
205,309,   0.01724,   0.69827,   0.72772
206,309,   0.01777,   0.69037,   0.72772
207,309,   0.01710,   0.69084,   0.72772
208,309,   0.01722,   0.69605,   0.72772
209,309,   0.01678,   0.70298,   0.72772
210,309,   0.01695,   0.69724,   0.72772
211,309,   0.01723,   0.69102,   0.72772
212,309,   0.01743,   0.70017,   0.72772
213,309,   0.01710,   0.69682,   0.72772
214,309,   0.01700,   0.69508,   0.72772
215,309,   0.01708,   0.70244,   0.72772
216,309,   0.01674,   0.70434,   0.72772
217,309,   0.02951,   0.39515,   0.72772
218,309,   0.02876,   0.32910,   0.72772
219,309,   0.02844,   0.40897,   0.72772
220,309,   0.02856,   0.43602,   0.72772
221,309,   0.02859,   0.40681,   0.72772
222,309,   0.02865,   0.43750,   0.72772
223,309,   0.02801,   0.43791,   0.72772
224,309,   0.02834,   0.42596,   0.72772
225,309,   0.02806,   0.43146,   0.72772
226,309,   0.02821,   0.42143,   0.72772
227,309,   0.02730,   0.43555,   0.72772
228,309,   0.02773,   0.44040,   0.72772
229,309,   0.02739,   0.43569,   0.72772
230,309,   0.02767,   0.43137,   0.72772
231,309,   0.02807,   0.42691,   0.72772
232,309,   0.02741,   0.43475,   0.72772
233,309,   0.02770,   0.42386,   0.72772
234,309,   0.02711,   0.44730,   0.72772
235,309,   0.02690,   0.44448,   0.72772
236,309,   0.02693,   0.40971,   0.72772
237,309,   0.02698,   0.43167,   0.72772
238,309,   0.02667,   0.44579,   0.72772
239,309,   0.02725,   0.44558,   0.72772
240,309,   0.02626,   0.44741,   0.72772
241,309,   0.02588,   0.45360,   0.72772
242,309,   0.02631,   0.44164,   0.72772
243,309,   0.02610,   0.45200,   0.72772
244,309,   0.02618,   0.44262,   0.72772
245,309,   0.02608,   0.44025,   0.72772
246,309,   0.02604,   0.44922,   0.72772
247,309,   0.02542,   0.45934,   0.72772
248,309,   0.02540,   0.46656,   0.72772
249,309,   0.02519,   0.46372,   0.72772
250,309,   0.02515,   0.46473,   0.72772
251,309,   0.02474,   0.47008,   0.72772
252,309,   0.02501,   0.47511,   0.72772
253,309,   0.02398,   0.48982,   0.72772
254,309,   0.02448,   0.47366,   0.72772
255,309,   0.02454,   0.47594,   0.72772
256,309,   0.02436,   0.47257,   0.72772
257,309,   0.02436,   0.46369,   0.72772
258,309,   0.02403,   0.47307,   0.72772
259,309,   0.02351,   0.49154,   0.72772
260,309,   0.02361,   0.48207,   0.72772
261,309,   0.02325,   0.49393,   0.72772
262,309,   0.02302,   0.48680,   0.72772
263,309,   0.02316,   0.48902,   0.72772
264,309,   0.02295,   0.50115,   0.72772
265,309,   0.02320,   0.49760,   0.72772
266,309,   0.02266,   0.50213,   0.72772
267,309,   0.02229,   0.50861,   0.72772
268,309,   0.02214,   0.51027,   0.72772
269,309,   0.02192,   0.51471,   0.72772
270,309,   0.02213,   0.51648,   0.72772
271,309,   0.02146,   0.54315,   0.72772
272,309,   0.02161,   0.52418,   0.72772
273,309,   0.02104,   0.53675,   0.72772
274,309,   0.02106,   0.56413,   0.72772
275,309,   0.02088,   0.56052,   0.72772
276,309,   0.02091,   0.57247,   0.72772
277,309,   0.02079,   0.56141,   0.72772
278,309,   0.02060,   0.59905,   0.72772
279,309,   0.02029,   0.62651,   0.72772
280,309,   0.02041,   0.63095,   0.72772
281,309,   0.02033,   0.61589,   0.72772
282,309,   0.01996,   0.61887,   0.72772
283,309,   0.02035,   0.62695,   0.72772
284,309,   0.01953,   0.64314,   0.72772
285,309,   0.01964,   0.66516,   0.72772
286,309,   0.01897,   0.67108,   0.72772
287,309,   0.01898,   0.68356,   0.72772
288,309,   0.01901,   0.68679,   0.72772
289,309,   0.01894,   0.68498,   0.72772
290,309,   0.01881,   0.69111,   0.72772
291,309,   0.01823,   0.70055,   0.72772
292,309,   0.01848,   0.70582,   0.72772
293,309,   0.01825,   0.70153,   0.72772
294,309,   0.01793,   0.71280,   0.72772
295,309,   0.01794,   0.70753,   0.72772
296,309,   0.01787,   0.71091,   0.72772
297,309,   0.01771,   0.70836,   0.72772
298,309,   0.01731,   0.71887,   0.72772
299,309,   0.01760,   0.71665,   0.72772
300,309,   0.01722,   0.71431,   0.72772
301,309,   0.01732,   0.72322,   0.72772
302,309,   0.01723,   0.71443,   0.72772
303,309,   0.01701,   0.71274,   0.72772
304,309,   0.01705,   0.70730,   0.72772
305,309,   0.01663,   0.71931,   0.72772
306,309,   0.01672,   0.71174,   0.72772
307,309,   0.01675,   0.71780,   0.72772
308,309,   0.01671,   0.70431,   0.72772
309,309,   0.01631,   0.72772,   0.72772
310,309,   0.01634,   0.71351,   0.72772
311,309,   0.01627,   0.71742,   0.72772
312,309,   0.01618,   0.71239,   0.72772
313,309,   0.01620,   0.71845,   0.72772
314,309,   0.01624,   0.71369,   0.72772
315,309,   0.01606,   0.71508,   0.72772
316,309,   0.01593,   0.71845,   0.72772
317,309,   0.01588,   0.71807,   0.72772
318,309,   0.01574,   0.71689,   0.72772
319,309,   0.01611,   0.71668,   0.72772
320,309,   0.01603,   0.71570,   0.72772
321,309,   0.01578,   0.71982,   0.72772
322,309,   0.01569,   0.72653,   0.72772
323,309,   0.01570,   0.71520,   0.72772
324,309,   0.01587,   0.72529,   0.72772
325,309,   0.01571,   0.71694,   0.72772
326,309,   0.01569,   0.71277,   0.72772
327,309,   0.01575,   0.71845,   0.72772
328,309,   0.01565,   0.71618,   0.72772
329,309,   0.01532,   0.72641,   0.72772
330,309,   0.01576,   0.71120,   0.72772
331,309,   0.01556,   0.71884,   0.72772
332,309,   0.01546,   0.71937,   0.72772
333,309,   0.01564,   0.71683,   0.72772
334,309,   0.01526,   0.72218,   0.72772
335,309,   0.01539,   0.71970,   0.72772
336,309,   0.01539,   0.71786,   0.72772
337,309,   0.02525,   0.47837,   0.72772
338,309,   0.02564,   0.44869,   0.72772
339,309,   0.02574,   0.44191,   0.72772
340,309,   0.02566,   0.43697,   0.72772
341,309,   0.02492,   0.45058,   0.72772
342,309,   0.02540,   0.46339,   0.72772
343,309,   0.02541,   0.45996,   0.72772
344,309,   0.02504,   0.46777,   0.72772
345,309,   0.02419,   0.49009,   0.72772
346,309,   0.02497,   0.45389,   0.72772
347,309,   0.02519,   0.44886,   0.72772
348,309,   0.02509,   0.44804,   0.72772
349,309,   0.02532,   0.46535,   0.72772
350,309,   0.02497,   0.46567,   0.72772
