epoch,best_epoch,trn_loss,trn_energy_within_threshold,val_mae,val_energy_within_threshold,best_energy_within_threshold
1,1,   0.42030,   0.05894,   0.12894,   0.06844,   0.06844
2,2,   0.10267,   0.21370,   0.08376,   0.15846,   0.15846
3,3,   0.04633,   0.27046,   0.02905,   0.51888,   0.51888
4,4,   0.02971,   0.47336,   0.02637,   0.63351,   0.63351
5,4,   0.02353,   0.58206,   0.02165,   0.62576,   0.63351
6,6,   0.02310,   0.58618,   0.02071,   0.66521,   0.66521
7,7,   0.01948,   0.67788,   0.01982,   0.67262,   0.67262
8,8,   0.01833,   0.68582,   0.01669,   0.70432,   0.70432
9,9,   0.01618,   0.72029,   0.01652,   0.73466,   0.73466
10,9,   0.01562,   0.72976,   0.01600,   0.72758,   0.73466
11,9,   0.03155,   0.41633,   0.02661,   0.57384,   0.73466
12,9,   0.03212,   0.40604,   0.03082,   0.39413,   0.73466
13,9,   0.02897,   0.44365,   0.01917,   0.70364,   0.73466
14,9,   0.02368,   0.53058,   0.02465,   0.47134,   0.73466
15,9,   0.02439,   0.49445,   0.01635,   0.72084,   0.73466
16,16,   0.01952,   0.66646,   0.01443,   0.74208,   0.74208
17,16,   0.01737,   0.69113,   0.01757,   0.73938,   0.74208
18,18,   0.01586,   0.74693,   0.01349,   0.77849,   0.77849
19,18,   0.01469,   0.76420,   0.01314,   0.76500,   0.77849
20,20,   0.01385,   0.78107,   0.01294,   0.78186,   0.78186
21,21,   0.01265,   0.78944,   0.01238,   0.78658,   0.78658
22,22,   0.01202,   0.79419,   0.01240,   0.80007,   0.80007
23,22,   0.01148,   0.80313,   0.01150,   0.79299,   0.80007
24,22,   0.01090,   0.80000,   0.01097,   0.79670,   0.80007
25,25,   0.01043,   0.80002,   0.01094,   0.80681,   0.80681
26,25,   0.02190,   0.55390,   0.01840,   0.64026,   0.80681
27,25,   0.02078,   0.61275,   0.04022,   0.27546,   0.80681
28,25,   0.02182,   0.56670,   0.02150,   0.46527,   0.80681
29,25,   0.01934,   0.63659,   0.01427,   0.74241,   0.80681
30,25,   0.01886,   0.65923,   0.02292,   0.45988,   0.80681
31,25,   0.01716,   0.72242,   0.01433,   0.80411,   0.80681
32,32,   0.01644,   0.72203,   0.01406,   0.81490,   0.81490
33,32,   0.01603,   0.70457,   0.01557,   0.79906,   0.81490
34,34,   0.01518,   0.75477,   0.01268,   0.84289,   0.84289
35,34,   0.01211,   0.83759,   0.01510,   0.81558,   0.84289
36,36,   0.01194,   0.83628,   0.01164,   0.84693,   0.84693
37,36,   0.01076,   0.84481,   0.01456,   0.83007,   0.84693
38,38,   0.01177,   0.84019,   0.01001,   0.85604,   0.85604
39,39,   0.00953,   0.86155,   0.01067,   0.86177,   0.86177
40,39,   0.00935,   0.85939,   0.00902,   0.85300,   0.86177
41,39,   0.00869,   0.86233,   0.00886,   0.84626,   0.86177
42,39,   0.00872,   0.86136,   0.00912,   0.84086,   0.86177
43,39,   0.00804,   0.86117,   0.00861,   0.84322,   0.86177
44,39,   0.00809,   0.86255,   0.00913,   0.84828,   0.86177
45,39,   0.00800,   0.85949,   0.00882,   0.84423,   0.86177
46,39,   0.00781,   0.86435,   0.00841,   0.84997,   0.86177
47,39,   0.00772,   0.86233,   0.00854,   0.84491,   0.86177
48,39,   0.00757,   0.86152,   0.00842,   0.84895,   0.86177
